Entity,Code,Year,Share of waste recycled from total regional waste,Share of waste incinerated from total regional waste,Share of littered and mismanaged from total regional waste,Share of waste landfilled from total regional waste
Americas (excl. USA),,2000,4.721963,1.2200574,32.702644,61.355328
Americas (excl. USA),,2001,4.9725046,1.2086724,32.65127,61.167557
Americas (excl. USA),,2002,5.2274694,1.1975662,32.610554,60.964405
Americas (excl. USA),,2003,5.4825106,1.186352,32.54644,60.7847
Americas (excl. USA),,2004,5.7400074,1.1752826,32.48097,60.603745
Americas (excl. USA),,2005,5.9932656,1.1643187,32.38634,60.456074
Americas (excl. USA),,2006,6.248887,1.1536299,32.298714,60.298763
Americas (excl. USA),,2007,6.504815,1.1429298,32.198456,60.153793
Americas (excl. USA),,2008,6.750381,1.1313322,32.026604,60.091694
Americas (excl. USA),,2009,7.001762,1.1201167,31.879993,59.998123
Americas (excl. USA),,2010,7.260716,1.1110171,31.71632,59.91195
Americas (excl. USA),,2011,7.5179963,1.1020877,31.516384,59.863525
Americas (excl. USA),,2012,7.769329,1.0941856,31.313433,59.823048
Americas (excl. USA),,2013,8.0173,1.0871824,31.086756,59.80876
Americas (excl. USA),,2014,8.261709,1.0832841,30.869202,59.78581
Americas (excl. USA),,2015,8.545544,1.0632468,30.585459,59.805756
Americas (excl. USA),,2016,8.805076,1.0594409,30.192081,59.943398
Americas (excl. USA),,2017,9.050159,1.0606065,29.824228,60.065014
Americas (excl. USA),,2018,9.3020315,1.0537329,29.444986,60.19925
Americas (excl. USA),,2019,9.554245,1.1592599,29.180883,60.10561
Asia (excl. China and India),,2000,3.8260822,10.439383,36.90847,48.82608
Asia (excl. China and India),,2001,4.0782595,10.978967,36.89078,48.051964
Asia (excl. China and India),,2002,4.3347645,11.516974,36.843292,47.304955
Asia (excl. China and India),,2003,4.5875983,12.036433,36.779625,46.59634
Asia (excl. China and India),,2004,4.8415866,12.546595,36.695618,45.916195
Asia (excl. China and India),,2005,5.084951,13.035166,36.599823,45.280056
Asia (excl. China and India),,2006,5.3303037,13.520215,36.482292,44.6672
Asia (excl. China and India),,2007,5.5731425,13.991865,36.3509,44.084095
Asia (excl. China and India),,2008,5.789884,14.406246,36.239586,43.564274
Asia (excl. China and India),,2009,6.0158916,14.830825,36.098736,43.054558
Asia (excl. China and India),,2010,6.2616835,15.259308,35.94254,42.536484
Asia (excl. China and India),,2011,6.5045176,15.73903,35.716637,42.03982
Asia (excl. China and India),,2012,6.731505,16.145636,35.53132,41.591534
Asia (excl. China and India),,2013,6.9581046,16.596796,35.301987,41.14312
Asia (excl. China and India),,2014,7.181574,16.968782,35.11712,40.732525
Asia (excl. China and India),,2015,7.4340367,17.335096,34.900837,40.330025
Asia (excl. China and India),,2016,7.6610985,17.633564,34.71078,39.994568
Asia (excl. China and India),,2017,7.887815,17.935818,34.513863,39.662506
Asia (excl. China and India),,2018,8.143375,18.53463,34.149826,39.17216
Asia (excl. China and India),,2019,8.351267,18.513683,33.74583,39.38922
China,CHN,2000,4.7811875,8.821573,60.803017,25.594213
China,CHN,2001,5.210237,9.609698,59.054733,26.125332
China,CHN,2002,5.6417065,10.40487,57.293118,26.660315
China,CHN,2003,6.0726414,11.204407,55.523457,27.199492
China,CHN,2004,6.505385,12.010195,53.741825,27.742598
China,CHN,2005,6.9324255,12.820913,51.95479,28.291878
China,CHN,2006,7.361401,13.638992,50.15437,28.845242
China,CHN,2007,7.7904778,14.462739,48.343662,29.40313
China,CHN,2008,8.205644,15.287558,46.536137,29.970661
China,CHN,2009,8.62724,16.121347,44.71028,30.541138
China,CHN,2010,9.063556,16.963223,42.862103,31.111118
China,CHN,2011,9.495495,17.809065,41.007553,31.687883
China,CHN,2012,9.926934,18.663284,39.13956,32.27022
China,CHN,2013,10.358366,19.526173,37.258137,32.857323
China,CHN,2014,10.742684,20.402584,35.385983,33.468746
China,CHN,2015,11.2197,21.266891,33.464287,34.049118
China,CHN,2016,11.647163,22.14718,31.551327,34.65433
China,CHN,2017,12.039128,23.042185,29.63854,35.280148
China,CHN,2018,12.489243,23.932241,27.691025,35.887497
China,CHN,2019,12.801141,23.762764,27.052067,36.384026
Europe,,2000,4.4350724,14.542094,12.974696,68.048134
Europe,,2001,4.8575726,15.765712,12.603666,66.773056
Europe,,2002,5.2840734,17.00034,12.228789,65.48679
Europe,,2003,5.7134585,18.240551,11.851512,64.19448
Europe,,2004,6.1474333,19.489176,11.470602,62.892788
Europe,,2005,6.5762663,20.743938,11.087446,61.592346
Europe,,2006,7.005127,22.009491,10.700763,60.284615
Europe,,2007,7.4335413,23.282541,10.311633,58.972286
Europe,,2008,7.857827,24.552296,9.92206,57.66781
Europe,,2009,8.282662,25.83552,9.528665,56.353157
Europe,,2010,8.717985,27.131308,9.130713,55.019997
Europe,,2011,9.1653,28.428936,8.72891,53.676857
Europe,,2012,9.597319,29.726812,8.325814,52.350063
Europe,,2013,10.011501,31.043758,7.9192724,51.025467
Europe,,2014,10.433878,32.365795,7.509836,49.69049
Europe,,2015,10.883846,33.69418,7.0952907,48.326675
Europe,,2016,11.2864,35.048588,6.6819925,46.983017
Europe,,2017,11.679832,36.413742,6.266093,45.640327
Europe,,2018,12.079297,37.823994,5.840492,44.25621
